g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.0,0.1,0,0.01,cos,0.7853981633974483
1,1,0.0012693303650867852,0.1,0,0.01,cos,0.7853981633974483
1,1,0.0025386607301735704,0.1,0,0.01,cos,0.7853981633974483
1,1,0.0038079910952603553,0.1,0,0.01,cos,0.7853981633974483
1,1,0.005077321460347141,0.1,0,0.01,cos,0.7853981633974483
1,1,0.006346651825433926,0.1,0,0.01,cos,0.7853981633974483
1,1,0.007615982190520711,0.1,0,0.01,cos,0.7853981633974483
1,1,0.008885312555607497,0.1,0,0.01,cos,0.7853981633974483
1,1,0.010154642920694281,0.1,0,0.01,cos,0.7853981633974483
1,1,0.011423973285781066,0.1,0,0.01,cos,0.7853981633974483
1,1,0.012693303650867852,0.1,0,0.01,cos,0.7853981633974483
1,1,0.013962634015954637,0.1,0,0.01,cos,0.7853981633974483
1,1,0.015231964381041421,0.1,0,0.01,cos,0.7853981633974483
1,1,0.016501294746128208,0.1,0,0.01,cos,0.7853981633974483
1,1,0.017770625111214994,0.1,0,0.01,cos,0.7853981633974483
1,1,0.019039955476301777,0.1,0,0.01,cos,0.7853981633974483
1,1,0.020309285841388563,0.1,0,0.01,cos,0.7853981633974483
1,1,0.02157861620647535,0.1,0,0.01,cos,0.7853981633974483
1,1,0.022847946571562132,0.1,0,0.01,cos,0.7853981633974483
1,1,0.024117276936648918,0.1,0,0.01,cos,0.7853981633974483
1,1,0.025386607301735704,0.1,0,0.01,cos,0.7853981633974483
1,1,0.026655937666822487,0.1,0,0.01,cos,0.7853981633974483
1,1,0.027925268031909273,0.1,0,0.01,cos,0.7853981633974483
1,1,0.02919459839699606,0.1,0,0.01,cos,0.7853981633974483
1,1,0.030463928762082843,0.1,0,0.01,cos,0.7853981633974483
1,1,0.03173325912716963,0.1,0,0.01,cos,0.7853981633974483
1,1,0.033002589492256415,0.1,0,0.01,cos,0.7853981633974483
1,1,0.0342719198573432,0.1,0,0.01,cos,0.7853981633974483
1,1,0.03554125022242999,0.1,0,0.01,cos,0.7853981633974483
1,1,0.03681058058751677,0.1,0,0.01,cos,0.7853981633974483
1,1,0.03807991095260355,0.1,0,0.01,cos,0.7853981633974483
1,1,0.03934924131769034,0.1,0,0.01,cos,0.7853981633974483
1,1,0.040618571682777126,0.1,0,0.01,cos,0.7853981633974483
1,1,0.04188790204786391,0.1,0,0.01,cos,0.7853981633974483
1,1,0.0431572324129507,0.1,0,0.01,cos,0.7853981633974483
1,1,0.044426562778037484,0.1,0,0.01,cos,0.7853981633974483
1,1,0.045695893143124264,0.1,0,0.01,cos,0.7853981633974483
1,1,0.04696522350821105,0.1,0,0.01,cos,0.7853981633974483
1,1,0.048234553873297836,0.1,0,0.01,cos,0.7853981633974483
1,1,0.04950388423838462,0.1,0,0.01,cos,0.7853981633974483
1,1,0.05077321460347141,0.1,0,0.01,cos,0.7853981633974483
1,1,0.052042544968558195,0.1,0,0.01,cos,0.7853981633974483
1,1,0.053311875333644974,0.1,0,0.01,cos,0.7853981633974483
1,1,0.05458120569873176,0.1,0,0.01,cos,0.7853981633974483
1,1,0.05585053606381855,0.1,0,0.01,cos,0.7853981633974483
1,1,0.05711986642890533,0.1,0,0.01,cos,0.7853981633974483
1,1,0.05838919679399212,0.1,0,0.01,cos,0.7853981633974483
1,1,0.059658527159078906,0.1,0,0.01,cos,0.7853981633974483
1,1,0.060927857524165685,0.1,0,0.01,cos,0.7853981633974483
1,1,0.06219718788925247,0.1,0,0.01,cos,0.7853981633974483
1,1,0.06346651825433926,0.1,0,0.01,cos,0.7853981633974483
1,1,0.06473584861942605,0.1,0,0.01,cos,0.7853981633974483
1,1,0.06600517898451283,0.1,0,0.01,cos,0.7853981633974483
1,1,0.06727450934959961,0.1,0,0.01,cos,0.7853981633974483
1,1,0.0685438397146864,0.1,0,0.01,cos,0.7853981633974483
1,1,0.06981317007977318,0.1,0,0.01,cos,0.7853981633974483
