g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.0,0.1,0,0.01,exp,0
1,1,-0.0004651687056553627,0.1,0,0.01,exp,0
1,1,-0.0009303374113107254,0.1,0,0.01,exp,0
1,1,-0.0013955061169660882,0.1,0,0.01,exp,0
1,1,-0.0018606748226214509,0.1,0,0.01,exp,0
1,1,-0.0023258435282768135,0.1,0,0.01,exp,0
1,1,-0.0027910122339321764,0.1,0,0.01,exp,0
1,1,-0.003256180939587539,0.1,0,0.01,exp,0
1,1,-0.0037213496452429017,0.1,0,0.01,exp,0
1,1,-0.004186518350898265,0.1,0,0.01,exp,0
1,1,-0.004651687056553627,0.1,0,0.01,exp,0
1,1,-0.0051168557622089895,0.1,0,0.01,exp,0
1,1,-0.005582024467864353,0.1,0,0.01,exp,0
1,1,-0.006047193173519715,0.1,0,0.01,exp,0
1,1,-0.006512361879175078,0.1,0,0.01,exp,0
1,1,-0.006977530584830441,0.1,0,0.01,exp,0
1,1,-0.0074426992904858035,0.1,0,0.01,exp,0
1,1,-0.007907867996141167,0.1,0,0.01,exp,0
1,1,-0.00837303670179653,0.1,0,0.01,exp,0
1,1,-0.008838205407451892,0.1,0,0.01,exp,0
1,1,-0.009303374113107254,0.1,0,0.01,exp,0
1,1,-0.009768542818762617,0.1,0,0.01,exp,0
1,1,-0.010233711524417979,0.1,0,0.01,exp,0
1,1,-0.010698880230073343,0.1,0,0.01,exp,0
1,1,-0.011164048935728706,0.1,0,0.01,exp,0
1,1,-0.011629217641384068,0.1,0,0.01,exp,0
1,1,-0.01209438634703943,0.1,0,0.01,exp,0
1,1,-0.012559555052694793,0.1,0,0.01,exp,0
1,1,-0.013024723758350155,0.1,0,0.01,exp,0
1,1,-0.01348989246400552,0.1,0,0.01,exp,0
1,1,-0.013955061169660882,0.1,0,0.01,exp,0
1,1,-0.014420229875316245,0.1,0,0.01,exp,0
1,1,-0.014885398580971607,0.1,0,0.01,exp,0
1,1,-0.01535056728662697,0.1,0,0.01,exp,0
1,1,-0.015815735992282334,0.1,0,0.01,exp,0
1,1,-0.016280904697937696,0.1,0,0.01,exp,0
1,1,-0.01674607340359306,0.1,0,0.01,exp,0
1,1,-0.01721124210924842,0.1,0,0.01,exp,0
1,1,-0.017676410814903783,0.1,0,0.01,exp,0
1,1,-0.018141579520559146,0.1,0,0.01,exp,0
1,1,-0.01860674822621451,0.1,0,0.01,exp,0
1,1,-0.01907191693186987,0.1,0,0.01,exp,0
1,1,-0.019537085637525233,0.1,0,0.01,exp,0
1,1,-0.020002254343180596,0.1,0,0.01,exp,0
1,1,-0.020467423048835958,0.1,0,0.01,exp,0
1,1,-0.020932591754491324,0.1,0,0.01,exp,0
1,1,-0.021397760460146686,0.1,0,0.01,exp,0
1,1,-0.02186292916580205,0.1,0,0.01,exp,0
1,1,-0.02232809787145741,0.1,0,0.01,exp,0
1,1,-0.022793266577112774,0.1,0,0.01,exp,0
1,1,-0.023258435282768136,0.1,0,0.01,exp,0
1,1,-0.0237236039884235,0.1,0,0.01,exp,0
1,1,-0.02418877269407886,0.1,0,0.01,exp,0
1,1,-0.024653941399734224,0.1,0,0.01,exp,0
1,1,-0.025119110105389586,0.1,0,0.01,exp,0
1,1,-0.02558427881104495,0.1,0,0.01,exp,0
1,1,-0.02604944751670031,0.1,0,0.01,exp,0
1,1,-0.026514616222355673,0.1,0,0.01,exp,0
1,1,-0.02697978492801104,0.1,0,0.01,exp,0
