g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,-0.13815510557964272,0.1,0,0.01,exp,0
1,1,-0.13675959946267663,0.1,0,0.01,exp,0
1,1,-0.13536409334571053,0.1,0,0.01,exp,0
1,1,-0.13396858722874447,0.1,0,0.01,exp,0
1,1,-0.13257308111177837,0.1,0,0.01,exp,0
1,1,-0.13117757499481228,0.1,0,0.01,exp,0
1,1,-0.12978206887784619,0.1,0,0.01,exp,0
1,1,-0.12838656276088012,0.1,0,0.01,exp,0
1,1,-0.12699105664391402,0.1,0,0.01,exp,0
1,1,-0.12559555052694793,0.1,0,0.01,exp,0
1,1,-0.12420004440998184,0.1,0,0.01,exp,0
1,1,-0.12280453829301576,0.1,0,0.01,exp,0
1,1,-0.12140903217604966,0.1,0,0.01,exp,0
1,1,-0.12001352605908358,0.1,0,0.01,exp,0
1,1,-0.11861801994211749,0.1,0,0.01,exp,0
1,1,-0.11722251382515139,0.1,0,0.01,exp,0
1,1,-0.11582700770818531,0.1,0,0.01,exp,0
1,1,-0.11443150159121923,0.1,0,0.01,exp,0
1,1,-0.11303599547425314,0.1,0,0.01,exp,0
1,1,-0.11164048935728704,0.1,0,0.01,exp,0
1,1,-0.11024498324032096,0.1,0,0.01,exp,0
1,1,-0.10884947712335487,0.1,0,0.01,exp,0
1,1,-0.10745397100638879,0.1,0,0.01,exp,0
1,1,-0.1060584648894227,0.1,0,0.01,exp,0
1,1,-0.1046629587724566,0.1,0,0.01,exp,0
1,1,-0.10326745265549052,0.1,0,0.01,exp,0
1,1,-0.10187194653852444,0.1,0,0.01,exp,0
1,1,-0.10047644042155834,0.1,0,0.01,exp,0
1,1,-0.09908093430459225,0.1,0,0.01,exp,0
1,1,-0.09768542818762616,0.1,0,0.01,exp,0
1,1,-0.09628992207066008,0.1,0,0.01,exp,0
1,1,-0.094894415953694,0.1,0,0.01,exp,0
1,1,-0.0934989098367279,0.1,0,0.01,exp,0
1,1,-0.0921034037197618,0.1,0,0.01,exp,0
1,1,-0.09070789760279573,0.1,0,0.01,exp,0
1,1,-0.08931239148582965,0.1,0,0.01,exp,0
1,1,-0.08791688536886355,0.1,0,0.01,exp,0
1,1,-0.08652137925189746,0.1,0,0.01,exp,0
1,1,-0.08512587313493136,0.1,0,0.01,exp,0
1,1,-0.08373036701796528,0.1,0,0.01,exp,0
1,1,-0.0823348609009992,0.1,0,0.01,exp,0
1,1,-0.08093935478403311,0.1,0,0.01,exp,0
1,1,-0.07954384866706701,0.1,0,0.01,exp,0
1,1,-0.07814834255010093,0.1,0,0.01,exp,0
1,1,-0.07675283643313484,0.1,0,0.01,exp,0
1,1,-0.07535733031616876,0.1,0,0.01,exp,0
1,1,-0.07396182419920266,0.1,0,0.01,exp,0
1,1,-0.07256631808223658,0.1,0,0.01,exp,0
1,1,-0.07117081196527049,0.1,0,0.01,exp,0
1,1,-0.0697753058483044,0.1,0,0.01,exp,0
1,1,-0.06837979973133831,0.1,0,0.01,exp,0
1,1,-0.06698429361437222,0.1,0,0.01,exp,0
1,1,-0.06558878749740614,0.1,0,0.01,exp,0
1,1,-0.06419328138044005,0.1,0,0.01,exp,0
1,1,-0.06279777526347396,0.1,0,0.01,exp,0
1,1,-0.06140226914650787,0.1,0,0.01,exp,0
1,1,-0.060006763029541776,0.1,0,0.01,exp,0
1,1,-0.058611256912575696,0.1,0,0.01,exp,0
1,1,-0.0572157507956096,0.1,0,0.01,exp,0
1,1,-0.05582024467864352,0.1,0,0.01,exp,0
1,1,-0.05442473856167743,0.1,0,0.01,exp,0
1,1,-0.05302923244471135,0.1,0,0.01,exp,0
1,1,-0.05163372632774525,0.1,0,0.01,exp,0
1,1,-0.05023822021077917,0.1,0,0.01,exp,0
1,1,-0.04884271409381308,0.1,0,0.01,exp,0
1,1,-0.04744720797684698,0.1,0,0.01,exp,0
1,1,-0.0460517018598809,0.1,0,0.01,exp,0
1,1,-0.04465619574291481,0.1,0,0.01,exp,0
1,1,-0.04326068962594873,0.1,0,0.01,exp,0
1,1,-0.041865183508982634,0.1,0,0.01,exp,0
1,1,-0.040469677392016554,0.1,0,0.01,exp,0
1,1,-0.03907417127505046,0.1,0,0.01,exp,0
1,1,-0.03767866515808438,0.1,0,0.01,exp,0
1,1,-0.036283159041118285,0.1,0,0.01,exp,0
1,1,-0.03488765292415219,0.1,0,0.01,exp,0
1,1,-0.03349214680718611,0.1,0,0.01,exp,0
1,1,-0.032096640690220016,0.1,0,0.01,exp,0
1,1,-0.030701134573253935,0.1,0,0.01,exp,0
1,1,-0.02930562845628784,0.1,0,0.01,exp,0
1,1,-0.02791012233932176,0.1,0,0.01,exp,0
1,1,-0.026514616222355666,0.1,0,0.01,exp,0
1,1,-0.025119110105389572,0.1,0,0.01,exp,0
1,1,-0.02372360398842349,0.1,0,0.01,exp,0
1,1,-0.022328097871457397,0.1,0,0.01,exp,0
1,1,-0.020932591754491317,0.1,0,0.01,exp,0
1,1,-0.019537085637525223,0.1,0,0.01,exp,0
1,1,-0.018141579520559142,0.1,0,0.01,exp,0
1,1,-0.016746073403593048,0.1,0,0.01,exp,0
1,1,-0.015350567286626954,0.1,0,0.01,exp,0
1,1,-0.013955061169660873,0.1,0,0.01,exp,0
1,1,-0.012559555052694793,0.1,0,0.01,exp,0
1,1,-0.011164048935728699,0.1,0,0.01,exp,0
1,1,-0.009768542818762604,0.1,0,0.01,exp,0
1,1,-0.00837303670179651,0.1,0,0.01,exp,0
1,1,-0.006977530584830444,0.1,0,0.01,exp,0
1,1,-0.005582024467864349,0.1,0,0.01,exp,0
1,1,-0.004186518350898255,0.1,0,0.01,exp,0
1,1,-0.002791012233932161,0.1,0,0.01,exp,0
1,1,-0.0013955061169660665,0.1,0,0.01,exp,0
1,1,0.0,0.1,0,0.01,exp,0
