g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,6.0,25
1,1,-1,0.1,0,0.01,gauss,6.040404040404041,25
1,1,-1,0.1,0,0.01,gauss,6.08080808080808,25
1,1,-1,0.1,0,0.01,gauss,6.121212121212121,25
1,1,-1,0.1,0,0.01,gauss,6.161616161616162,25
1,1,-1,0.1,0,0.01,gauss,6.202020202020202,25
1,1,-1,0.1,0,0.01,gauss,6.242424242424242,25
1,1,-1,0.1,0,0.01,gauss,6.282828282828283,25
1,1,-1,0.1,0,0.01,gauss,6.3232323232323235,25
1,1,-1,0.1,0,0.01,gauss,6.363636363636363,25
1,1,-1,0.1,0,0.01,gauss,6.404040404040404,25
1,1,-1,0.1,0,0.01,gauss,6.444444444444445,25
1,1,-1,0.1,0,0.01,gauss,6.484848484848484,25
1,1,-1,0.1,0,0.01,gauss,6.525252525252525,25
1,1,-1,0.1,0,0.01,gauss,6.565656565656566,25
1,1,-1,0.1,0,0.01,gauss,6.606060606060606,25
1,1,-1,0.1,0,0.01,gauss,6.646464646464646,25
1,1,-1,0.1,0,0.01,gauss,6.686868686868687,25
1,1,-1,0.1,0,0.01,gauss,6.7272727272727275,25
1,1,-1,0.1,0,0.01,gauss,6.767676767676768,25
1,1,-1,0.1,0,0.01,gauss,6.808080808080808,25
1,1,-1,0.1,0,0.01,gauss,6.848484848484849,25
1,1,-1,0.1,0,0.01,gauss,6.888888888888889,25
1,1,-1,0.1,0,0.01,gauss,6.929292929292929,25
1,1,-1,0.1,0,0.01,gauss,6.96969696969697,25
1,1,-1,0.1,0,0.01,gauss,7.01010101010101,25
1,1,-1,0.1,0,0.01,gauss,7.05050505050505,25
1,1,-1,0.1,0,0.01,gauss,7.090909090909091,25
1,1,-1,0.1,0,0.01,gauss,7.1313131313131315,25
1,1,-1,0.1,0,0.01,gauss,7.171717171717171,25
1,1,-1,0.1,0,0.01,gauss,7.212121212121212,25
