g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,-0.006666666666666667,0.1,0,0.01,linear,0.5
1,1,-0.006531986531986532,0.1,0,0.01,linear,0.5
1,1,-0.006397306397306398,0.1,0,0.01,linear,0.5
1,1,-0.006262626262626263,0.1,0,0.01,linear,0.5
1,1,-0.006127946127946128,0.1,0,0.01,linear,0.5
1,1,-0.005993265993265993,0.1,0,0.01,linear,0.5
1,1,-0.005858585858585859,0.1,0,0.01,linear,0.5
1,1,-0.005723905723905724,0.1,0,0.01,linear,0.5
1,1,-0.00558922558922559,0.1,0,0.01,linear,0.5
1,1,-0.005454545454545455,0.1,0,0.01,linear,0.5
1,1,-0.00531986531986532,0.1,0,0.01,linear,0.5
1,1,-0.005185185185185185,0.1,0,0.01,linear,0.5
1,1,-0.005050505050505051,0.1,0,0.01,linear,0.5
1,1,-0.004915824915824916,0.1,0,0.01,linear,0.5
1,1,-0.004781144781144782,0.1,0,0.01,linear,0.5
1,1,-0.004646464646464647,0.1,0,0.01,linear,0.5
1,1,-0.004511784511784512,0.1,0,0.01,linear,0.5
1,1,-0.004377104377104377,0.1,0,0.01,linear,0.5
1,1,-0.004242424242424242,0.1,0,0.01,linear,0.5
1,1,-0.004107744107744108,0.1,0,0.01,linear,0.5
1,1,-0.003973063973063973,0.1,0,0.01,linear,0.5
1,1,-0.0038383838383838384,0.1,0,0.01,linear,0.5
1,1,-0.003703703703703704,0.1,0,0.01,linear,0.5
1,1,-0.003569023569023569,0.1,0,0.01,linear,0.5
1,1,-0.0034343434343434343,0.1,0,0.01,linear,0.5
1,1,-0.0032996632996633,0.1,0,0.01,linear,0.5
1,1,-0.003164983164983165,0.1,0,0.01,linear,0.5
1,1,-0.0030303030303030303,0.1,0,0.01,linear,0.5
1,1,-0.0028956228956228958,0.1,0,0.01,linear,0.5
1,1,-0.002760942760942761,0.1,0,0.01,linear,0.5
1,1,-0.002626262626262626,0.1,0,0.01,linear,0.5
1,1,-0.0024915824915824917,0.1,0,0.01,linear,0.5
1,1,-0.0023569023569023568,0.1,0,0.01,linear,0.5
1,1,-0.002222222222222222,0.1,0,0.01,linear,0.5
1,1,-0.0020875420875420877,0.1,0,0.01,linear,0.5
1,1,-0.0019528619528619527,0.1,0,0.01,linear,0.5
1,1,-0.0018181818181818177,0.1,0,0.01,linear,0.5
1,1,-0.0016835016835016836,0.1,0,0.01,linear,0.5
1,1,-0.0015488215488215487,0.1,0,0.01,linear,0.5
1,1,-0.0014141414141414137,0.1,0,0.01,linear,0.5
1,1,-0.0012794612794612787,0.1,0,0.01,linear,0.5
