g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,-0.02,0.1,0,0.01,linear,1
1,1,-0.019797979797979797,0.1,0,0.01,linear,1
1,1,-0.019595959595959597,0.1,0,0.01,linear,1
1,1,-0.019393939393939394,0.1,0,0.01,linear,1
1,1,-0.01919191919191919,0.1,0,0.01,linear,1
1,1,-0.01898989898989899,0.1,0,0.01,linear,1
1,1,-0.018787878787878787,0.1,0,0.01,linear,1
1,1,-0.018585858585858588,0.1,0,0.01,linear,1
1,1,-0.018383838383838384,0.1,0,0.01,linear,1
1,1,-0.01818181818181818,0.1,0,0.01,linear,1
1,1,-0.01797979797979798,0.1,0,0.01,linear,1
1,1,-0.017777777777777778,0.1,0,0.01,linear,1
1,1,-0.017575757575757578,0.1,0,0.01,linear,1
1,1,-0.017373737373737375,0.1,0,0.01,linear,1
1,1,-0.01717171717171717,0.1,0,0.01,linear,1
1,1,-0.01696969696969697,0.1,0,0.01,linear,1
1,1,-0.016767676767676768,0.1,0,0.01,linear,1
1,1,-0.016565656565656565,0.1,0,0.01,linear,1
1,1,-0.016363636363636365,0.1,0,0.01,linear,1
1,1,-0.01616161616161616,0.1,0,0.01,linear,1
1,1,-0.01595959595959596,0.1,0,0.01,linear,1
1,1,-0.01575757575757576,0.1,0,0.01,linear,1
1,1,-0.015555555555555555,0.1,0,0.01,linear,1
1,1,-0.015353535353535354,0.1,0,0.01,linear,1
1,1,-0.015151515151515152,0.1,0,0.01,linear,1
1,1,-0.01494949494949495,0.1,0,0.01,linear,1
1,1,-0.014747474747474749,0.1,0,0.01,linear,1
1,1,-0.014545454545454545,0.1,0,0.01,linear,1
1,1,-0.014343434343434344,0.1,0,0.01,linear,1
1,1,-0.014141414141414142,0.1,0,0.01,linear,1
1,1,-0.013939393939393939,0.1,0,0.01,linear,1
1,1,-0.013737373737373737,0.1,0,0.01,linear,1
1,1,-0.013535353535353536,0.1,0,0.01,linear,1
1,1,-0.013333333333333334,0.1,0,0.01,linear,1
1,1,-0.013131313131313133,0.1,0,0.01,linear,1
1,1,-0.01292929292929293,0.1,0,0.01,linear,1
1,1,-0.012727272727272728,0.1,0,0.01,linear,1
1,1,-0.012525252525252526,0.1,0,0.01,linear,1
1,1,-0.012323232323232323,0.1,0,0.01,linear,1
1,1,-0.012121212121212121,0.1,0,0.01,linear,1
1,1,-0.01191919191919192,0.1,0,0.01,linear,1
1,1,-0.011717171717171718,0.1,0,0.01,linear,1
1,1,-0.011515151515151516,0.1,0,0.01,linear,1
1,1,-0.011313131313131313,0.1,0,0.01,linear,1
1,1,-0.011111111111111112,0.1,0,0.01,linear,1
1,1,-0.01090909090909091,0.1,0,0.01,linear,1
1,1,-0.010707070707070707,0.1,0,0.01,linear,1
1,1,-0.010505050505050505,0.1,0,0.01,linear,1
1,1,-0.010303030303030303,0.1,0,0.01,linear,1
1,1,-0.010101010101010102,0.1,0,0.01,linear,1
1,1,-0.0098989898989899,0.1,0,0.01,linear,1
1,1,-0.009696969696969697,0.1,0,0.01,linear,1
1,1,-0.009494949494949495,0.1,0,0.01,linear,1
1,1,-0.009292929292929294,0.1,0,0.01,linear,1
1,1,-0.00909090909090909,0.1,0,0.01,linear,1
1,1,-0.008888888888888889,0.1,0,0.01,linear,1
1,1,-0.008686868686868687,0.1,0,0.01,linear,1
1,1,-0.008484848484848486,0.1,0,0.01,linear,1
1,1,-0.008282828282828284,0.1,0,0.01,linear,1
1,1,-0.00808080808080808,0.1,0,0.01,linear,1
1,1,-0.00787878787878788,0.1,0,0.01,linear,1
1,1,-0.007676767676767678,0.1,0,0.01,linear,1
1,1,-0.007474747474747474,0.1,0,0.01,linear,1
1,1,-0.007272727272727273,0.1,0,0.01,linear,1
1,1,-0.007070707070707071,0.1,0,0.01,linear,1
1,1,-0.0068686868686868695,0.1,0,0.01,linear,1
1,1,-0.006666666666666668,0.1,0,0.01,linear,1
1,1,-0.006464646464646465,0.1,0,0.01,linear,1
1,1,-0.006262626262626263,0.1,0,0.01,linear,1
1,1,-0.0060606060606060615,0.1,0,0.01,linear,1
1,1,-0.005858585858585858,0.1,0,0.01,linear,1
1,1,-0.0056565656565656566,0.1,0,0.01,linear,1
1,1,-0.005454545454545455,0.1,0,0.01,linear,1
1,1,-0.005252525252525253,0.1,0,0.01,linear,1
1,1,-0.005050505050505052,0.1,0,0.01,linear,1
1,1,-0.0048484848484848485,0.1,0,0.01,linear,1
1,1,-0.004646464646464647,0.1,0,0.01,linear,1
1,1,-0.004444444444444445,0.1,0,0.01,linear,1
1,1,-0.004242424242424242,0.1,0,0.01,linear,1
1,1,-0.004040404040404042,0.1,0,0.01,linear,1
1,1,-0.003838383838383839,0.1,0,0.01,linear,1
1,1,-0.0036363636363636355,0.1,0,0.01,linear,1
1,1,-0.0034343434343434356,0.1,0,0.01,linear,1
1,1,-0.0032323232323232323,0.1,0,0.01,linear,1
1,1,-0.0030303030303030325,0.1,0,0.01,linear,1
1,1,-0.002828282828282829,0.1,0,0.01,linear,1
1,1,-0.002626262626262626,0.1,0,0.01,linear,1
1,1,-0.002424242424242426,0.1,0,0.01,linear,1
1,1,-0.0022222222222222227,0.1,0,0.01,linear,1
1,1,-0.0020202020202020193,0.1,0,0.01,linear,1
1,1,-0.0018181818181818195,0.1,0,0.01,linear,1
1,1,-0.0016161616161616162,0.1,0,0.01,linear,1
1,1,-0.0014141414141414128,0.1,0,0.01,linear,1
1,1,-0.001212121212121213,0.1,0,0.01,linear,1
1,1,-0.0010101010101010097,0.1,0,0.01,linear,1
1,1,-0.0008080808080808098,0.1,0,0.01,linear,1
1,1,-0.0006060606060606065,0.1,0,0.01,linear,1
1,1,-0.00040404040404040317,0.1,0,0.01,linear,1
1,1,-0.00020202020202020332,0.1,0,0.01,linear,1
1,1,0.0,0.1,0,0.01,linear,1
