n_points,negativity,time_sec,W_min,W_max,delta_neg
40,0.05075740670280265,0.007709249999606982,-0.014491082550128499,0.1447234941926402,
60,0.3203255280622469,0.015463458003068808,-0.23814278167354933,0.15412506873981996,0.26956812135944425
80,0.33658413147780303,0.020528499997453764,-0.20025980203261345,0.21465589953511927,0.016258603415556128
100,0.3075300493794185,0.02613550000023679,-0.24377859811252772,0.25037875672618115,0.029054082098384504
120,0.28479371303563256,0.034673124999244465,-0.23443912290717614,0.27055813080115537,0.022736336343785968
160,0.3119912135764069,0.05559837500186404,-0.2446799703433478,0.2911482712312773,0.027197500540774355
200,0.2984618736521945,0.08202208399961819,-0.2485847860792067,0.30084712058970536,0.013529339924212402
250,0.30574839979697066,0.12523062499894877,-0.24579171311357065,0.30710576023536473,0.007286526144776151
300,0.30513114107285416,0.1793490420022863,-0.24706494757160286,0.31052064997022444,0.0006172587241164984
400,0.30564939798749446,0.3147443330017268,-0.25141056783834265,0.31392514851269393,0.0005182569146403027
