g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,8,15.0
1,1,-1,0.1,0,0.01,gauss,8,15.202020202020202
1,1,-1,0.1,0,0.01,gauss,8,15.404040404040405
1,1,-1,0.1,0,0.01,gauss,8,15.606060606060606
1,1,-1,0.1,0,0.01,gauss,8,15.808080808080808
1,1,-1,0.1,0,0.01,gauss,8,16.01010101010101
1,1,-1,0.1,0,0.01,gauss,8,16.21212121212121
1,1,-1,0.1,0,0.01,gauss,8,16.414141414141415
1,1,-1,0.1,0,0.01,gauss,8,16.616161616161616
1,1,-1,0.1,0,0.01,gauss,8,16.818181818181817
1,1,-1,0.1,0,0.01,gauss,8,17.02020202020202
1,1,-1,0.1,0,0.01,gauss,8,17.22222222222222
1,1,-1,0.1,0,0.01,gauss,8,17.424242424242426
1,1,-1,0.1,0,0.01,gauss,8,17.626262626262626
1,1,-1,0.1,0,0.01,gauss,8,17.828282828282827
1,1,-1,0.1,0,0.01,gauss,8,18.03030303030303
1,1,-1,0.1,0,0.01,gauss,8,18.232323232323232
1,1,-1,0.1,0,0.01,gauss,8,18.434343434343432
1,1,-1,0.1,0,0.01,gauss,8,18.636363636363637
1,1,-1,0.1,0,0.01,gauss,8,18.838383838383837
1,1,-1,0.1,0,0.01,gauss,8,19.04040404040404
1,1,-1,0.1,0,0.01,gauss,8,19.242424242424242
1,1,-1,0.1,0,0.01,gauss,8,19.444444444444443
1,1,-1,0.1,0,0.01,gauss,8,19.646464646464647
1,1,-1,0.1,0,0.01,gauss,8,19.848484848484848
1,1,-1,0.1,0,0.01,gauss,8,20.050505050505052
1,1,-1,0.1,0,0.01,gauss,8,20.252525252525253
1,1,-1,0.1,0,0.01,gauss,8,20.454545454545453
1,1,-1,0.1,0,0.01,gauss,8,20.656565656565657
1,1,-1,0.1,0,0.01,gauss,8,20.858585858585858
1,1,-1,0.1,0,0.01,gauss,8,21.060606060606062
1,1,-1,0.1,0,0.01,gauss,8,21.262626262626263
1,1,-1,0.1,0,0.01,gauss,8,21.464646464646464
1,1,-1,0.1,0,0.01,gauss,8,21.666666666666668
1,1,-1,0.1,0,0.01,gauss,8,21.86868686868687
1,1,-1,0.1,0,0.01,gauss,8,22.070707070707073
1,1,-1,0.1,0,0.01,gauss,8,22.272727272727273
1,1,-1,0.1,0,0.01,gauss,8,22.474747474747474
1,1,-1,0.1,0,0.01,gauss,8,22.676767676767675
1,1,-1,0.1,0,0.01,gauss,8,22.87878787878788
1,1,-1,0.1,0,0.01,gauss,8,23.080808080808083
1,1,-1,0.1,0,0.01,gauss,8,23.282828282828284
1,1,-1,0.1,0,0.01,gauss,8,23.484848484848484
1,1,-1,0.1,0,0.01,gauss,8,23.686868686868685
1,1,-1,0.1,0,0.01,gauss,8,23.88888888888889
1,1,-1,0.1,0,0.01,gauss,8,24.09090909090909
1,1,-1,0.1,0,0.01,gauss,8,24.292929292929294
1,1,-1,0.1,0,0.01,gauss,8,24.494949494949495
1,1,-1,0.1,0,0.01,gauss,8,24.696969696969695
