g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.0,0.1,0,0.01,cos,0
1,1,0.003157379551346526,0.1,0,0.01,cos,0
1,1,0.006314759102693052,0.1,0,0.01,cos,0
1,1,0.009472138654039577,0.1,0,0.01,cos,0
1,1,0.012629518205386103,0.1,0,0.01,cos,0
1,1,0.01578689775673263,0.1,0,0.01,cos,0
1,1,0.018944277308079155,0.1,0,0.01,cos,0
1,1,0.02210165685942568,0.1,0,0.01,cos,0
1,1,0.025259036410772207,0.1,0,0.01,cos,0
1,1,0.028416415962118732,0.1,0,0.01,cos,0
1,1,0.03157379551346526,0.1,0,0.01,cos,0
1,1,0.034731175064811784,0.1,0,0.01,cos,0
1,1,0.03788855461615831,0.1,0,0.01,cos,0
1,1,0.041045934167504836,0.1,0,0.01,cos,0
1,1,0.04420331371885136,0.1,0,0.01,cos,0
1,1,0.04736069327019789,0.1,0,0.01,cos,0
1,1,0.05051807282154441,0.1,0,0.01,cos,0
1,1,0.05367545237289094,0.1,0,0.01,cos,0
1,1,0.056832831924237465,0.1,0,0.01,cos,0
1,1,0.05999021147558399,0.1,0,0.01,cos,0
1,1,0.06314759102693052,0.1,0,0.01,cos,0
1,1,0.06630497057827704,0.1,0,0.01,cos,0
1,1,0.06946235012962357,0.1,0,0.01,cos,0
1,1,0.0726197296809701,0.1,0,0.01,cos,0
1,1,0.07577710923231662,0.1,0,0.01,cos,0
1,1,0.07893448878366315,0.1,0,0.01,cos,0
1,1,0.08209186833500967,0.1,0,0.01,cos,0
1,1,0.0852492478863562,0.1,0,0.01,cos,0
1,1,0.08840662743770272,0.1,0,0.01,cos,0
1,1,0.09156400698904925,0.1,0,0.01,cos,0
1,1,0.09472138654039577,0.1,0,0.01,cos,0
1,1,0.0978787660917423,0.1,0,0.01,cos,0
1,1,0.10103614564308883,0.1,0,0.01,cos,0
1,1,0.10419352519443535,0.1,0,0.01,cos,0
1,1,0.10735090474578188,0.1,0,0.01,cos,0
1,1,0.1105082842971284,0.1,0,0.01,cos,0
1,1,0.11366566384847493,0.1,0,0.01,cos,0
1,1,0.11682304339982146,0.1,0,0.01,cos,0
1,1,0.11998042295116798,0.1,0,0.01,cos,0
1,1,0.1231378025025145,0.1,0,0.01,cos,0
1,1,0.12629518205386103,0.1,0,0.01,cos,0
1,1,0.12945256160520757,0.1,0,0.01,cos,0
1,1,0.13260994115655408,0.1,0,0.01,cos,0
1,1,0.1357673207079006,0.1,0,0.01,cos,0
1,1,0.13892470025924714,0.1,0,0.01,cos,0
1,1,0.14208207981059368,0.1,0,0.01,cos,0
1,1,0.1452394593619402,0.1,0,0.01,cos,0
1,1,0.1483968389132867,0.1,0,0.01,cos,0
1,1,0.15155421846463324,0.1,0,0.01,cos,0
1,1,0.15471159801597978,0.1,0,0.01,cos,0
1,1,0.1578689775673263,0.1,0,0.01,cos,0
1,1,0.1610263571186728,0.1,0,0.01,cos,0
1,1,0.16418373667001934,0.1,0,0.01,cos,0
1,1,0.16734111622136588,0.1,0,0.01,cos,0
1,1,0.1704984957727124,0.1,0,0.01,cos,0
1,1,0.1736558753240589,0.1,0,0.01,cos,0
1,1,0.17681325487540545,0.1,0,0.01,cos,0
1,1,0.17997063442675199,0.1,0,0.01,cos,0
1,1,0.1831280139780985,0.1,0,0.01,cos,0
1,1,0.186285393529445,0.1,0,0.01,cos,0
1,1,0.18944277308079155,0.1,0,0.01,cos,0
1,1,0.1926001526321381,0.1,0,0.01,cos,0
1,1,0.1957575321834846,0.1,0,0.01,cos,0
1,1,0.1989149117348311,0.1,0,0.01,cos,0
1,1,0.20207229128617765,0.1,0,0.01,cos,0
1,1,0.2052296708375242,0.1,0,0.01,cos,0
1,1,0.2083870503888707,0.1,0,0.01,cos,0
1,1,0.21154442994021722,0.1,0,0.01,cos,0
1,1,0.21470180949156376,0.1,0,0.01,cos,0
1,1,0.2178591890429103,0.1,0,0.01,cos,0
1,1,0.2210165685942568,0.1,0,0.01,cos,0
1,1,0.22417394814560332,0.1,0,0.01,cos,0
1,1,0.22733132769694986,0.1,0,0.01,cos,0
1,1,0.2304887072482964,0.1,0,0.01,cos,0
1,1,0.2336460867996429,0.1,0,0.01,cos,0
1,1,0.23680346635098942,0.1,0,0.01,cos,0
1,1,0.23996084590233596,0.1,0,0.01,cos,0
1,1,0.2431182254536825,0.1,0,0.01,cos,0
1,1,0.246275605005029,0.1,0,0.01,cos,0
1,1,0.24943298455637553,0.1,0,0.01,cos,0
1,1,0.25259036410772207,0.1,0,0.01,cos,0
1,1,0.2557477436590686,0.1,0,0.01,cos,0
1,1,0.25890512321041514,0.1,0,0.01,cos,0
1,1,0.26206250276176163,0.1,0,0.01,cos,0
1,1,0.26521988231310817,0.1,0,0.01,cos,0
1,1,0.2683772618644547,0.1,0,0.01,cos,0
1,1,0.2715346414158012,0.1,0,0.01,cos,0
1,1,0.27469202096714773,0.1,0,0.01,cos,0
1,1,0.27784940051849427,0.1,0,0.01,cos,0
1,1,0.2810067800698408,0.1,0,0.01,cos,0
1,1,0.28416415962118735,0.1,0,0.01,cos,0
1,1,0.28732153917253384,0.1,0,0.01,cos,0
1,1,0.2904789187238804,0.1,0,0.01,cos,0
1,1,0.2936362982752269,0.1,0,0.01,cos,0
1,1,0.2967936778265734,0.1,0,0.01,cos,0
1,1,0.29995105737791994,0.1,0,0.01,cos,0
1,1,0.3031084369292665,0.1,0,0.01,cos,0
1,1,0.306265816480613,0.1,0,0.01,cos,0
1,1,0.30942319603195956,0.1,0,0.01,cos,0
1,1,0.31258057558330604,0.1,0,0.01,cos,0
1,1,0.3157379551346526,0.1,0,0.01,cos,0
1,1,0.3188953346859991,0.1,0,0.01,cos,0
1,1,0.3220527142373456,0.1,0,0.01,cos,0
