g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.0,0.1,0,0.01,exp,0
1,1,-0.0013955061169660882,0.1,0,0.01,exp,0
1,1,-0.0027910122339321764,0.1,0,0.01,exp,0
1,1,-0.004186518350898265,0.1,0,0.01,exp,0
1,1,-0.005582024467864353,0.1,0,0.01,exp,0
1,1,-0.006977530584830441,0.1,0,0.01,exp,0
1,1,-0.00837303670179653,0.1,0,0.01,exp,0
1,1,-0.009768542818762618,0.1,0,0.01,exp,0
1,1,-0.011164048935728706,0.1,0,0.01,exp,0
1,1,-0.012559555052694793,0.1,0,0.01,exp,0
1,1,-0.013955061169660882,0.1,0,0.01,exp,0
1,1,-0.015350567286626971,0.1,0,0.01,exp,0
1,1,-0.01674607340359306,0.1,0,0.01,exp,0
1,1,-0.018141579520559146,0.1,0,0.01,exp,0
1,1,-0.019537085637525237,0.1,0,0.01,exp,0
1,1,-0.020932591754491324,0.1,0,0.01,exp,0
1,1,-0.02232809787145741,0.1,0,0.01,exp,0
1,1,-0.0237236039884235,0.1,0,0.01,exp,0
1,1,-0.025119110105389586,0.1,0,0.01,exp,0
1,1,-0.026514616222355677,0.1,0,0.01,exp,0
1,1,-0.027910122339321764,0.1,0,0.01,exp,0
1,1,-0.02930562845628785,0.1,0,0.01,exp,0
1,1,-0.030701134573253942,0.1,0,0.01,exp,0
1,1,-0.03209664069022003,0.1,0,0.01,exp,0
1,1,-0.03349214680718612,0.1,0,0.01,exp,0
1,1,-0.034887652924152204,0.1,0,0.01,exp,0
1,1,-0.03628315904111829,0.1,0,0.01,exp,0
1,1,-0.03767866515808438,0.1,0,0.01,exp,0
1,1,-0.03907417127505047,0.1,0,0.01,exp,0
1,1,-0.04046967739201656,0.1,0,0.01,exp,0
1,1,-0.04186518350898265,0.1,0,0.01,exp,0
1,1,-0.043260689625948735,0.1,0,0.01,exp,0
1,1,-0.04465619574291482,0.1,0,0.01,exp,0
1,1,-0.04605170185988091,0.1,0,0.01,exp,0
1,1,-0.047447207976847,0.1,0,0.01,exp,0
1,1,-0.048842714093813085,0.1,0,0.01,exp,0
1,1,-0.05023822021077917,0.1,0,0.01,exp,0
1,1,-0.051633726327745266,0.1,0,0.01,exp,0
1,1,-0.053029232444711354,0.1,0,0.01,exp,0
1,1,-0.05442473856167744,0.1,0,0.01,exp,0
1,1,-0.05582024467864353,0.1,0,0.01,exp,0
1,1,-0.057215750795609616,0.1,0,0.01,exp,0
1,1,-0.0586112569125757,0.1,0,0.01,exp,0
1,1,-0.06000676302954179,0.1,0,0.01,exp,0
1,1,-0.061402269146507885,0.1,0,0.01,exp,0
1,1,-0.06279777526347396,0.1,0,0.01,exp,0
1,1,-0.06419328138044006,0.1,0,0.01,exp,0
1,1,-0.06558878749740614,0.1,0,0.01,exp,0
1,1,-0.06698429361437223,0.1,0,0.01,exp,0
1,1,-0.06837979973133833,0.1,0,0.01,exp,0
1,1,-0.06977530584830441,0.1,0,0.01,exp,0
1,1,-0.0711708119652705,0.1,0,0.01,exp,0
1,1,-0.07256631808223658,0.1,0,0.01,exp,0
1,1,-0.07396182419920268,0.1,0,0.01,exp,0
1,1,-0.07535733031616876,0.1,0,0.01,exp,0
1,1,-0.07675283643313485,0.1,0,0.01,exp,0
1,1,-0.07814834255010095,0.1,0,0.01,exp,0
1,1,-0.07954384866706703,0.1,0,0.01,exp,0
1,1,-0.08093935478403312,0.1,0,0.01,exp,0
1,1,-0.0823348609009992,0.1,0,0.01,exp,0
1,1,-0.0837303670179653,0.1,0,0.01,exp,0
1,1,-0.08512587313493138,0.1,0,0.01,exp,0
1,1,-0.08652137925189747,0.1,0,0.01,exp,0
1,1,-0.08791688536886355,0.1,0,0.01,exp,0
1,1,-0.08931239148582965,0.1,0,0.01,exp,0
1,1,-0.09070789760279574,0.1,0,0.01,exp,0
1,1,-0.09210340371976182,0.1,0,0.01,exp,0
1,1,-0.09349890983672791,0.1,0,0.01,exp,0
1,1,-0.094894415953694,0.1,0,0.01,exp,0
