g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,1e-05,25
1,1,-1,0.1,0,0.01,gauss,0.01011090909090909,25
1,1,-1,0.1,0,0.01,gauss,0.02021181818181818,25
1,1,-1,0.1,0,0.01,gauss,0.030312727272727272,25
1,1,-1,0.1,0,0.01,gauss,0.04041363636363637,25
1,1,-1,0.1,0,0.01,gauss,0.05051454545454546,25
1,1,-1,0.1,0,0.01,gauss,0.06061545454545455,25
1,1,-1,0.1,0,0.01,gauss,0.07071636363636363,25
1,1,-1,0.1,0,0.01,gauss,0.08081727272727272,25
1,1,-1,0.1,0,0.01,gauss,0.09091818181818181,25
1,1,-1,0.1,0,0.01,gauss,0.1010190909090909,25
1,1,-1,0.1,0,0.01,gauss,0.11112,25
1,1,-1,0.1,0,0.01,gauss,0.12122090909090909,25
1,1,-1,0.1,0,0.01,gauss,0.1313218181818182,25
1,1,-1,0.1,0,0.01,gauss,0.14142272727272728,25
1,1,-1,0.1,0,0.01,gauss,0.15152363636363636,25
1,1,-1,0.1,0,0.01,gauss,0.16162454545454547,25
1,1,-1,0.1,0,0.01,gauss,0.17172545454545457,25
1,1,-1,0.1,0,0.01,gauss,0.18182636363636365,25
1,1,-1,0.1,0,0.01,gauss,0.19192727272727272,25
1,1,-1,0.1,0,0.01,gauss,0.20202818181818183,25
1,1,-1,0.1,0,0.01,gauss,0.21212909090909093,25
1,1,-1,0.1,0,0.01,gauss,0.22223,25
1,1,-1,0.1,0,0.01,gauss,0.2323309090909091,25
1,1,-1,0.1,0,0.01,gauss,0.2424318181818182,25
1,1,-1,0.1,0,0.01,gauss,0.2525327272727273,25
1,1,-1,0.1,0,0.01,gauss,0.2626336363636364,25
1,1,-1,0.1,0,0.01,gauss,0.27273454545454545,25
1,1,-1,0.1,0,0.01,gauss,0.28283545454545456,25
1,1,-1,0.1,0,0.01,gauss,0.29293636363636366,25
1,1,-1,0.1,0,0.01,gauss,0.3030372727272727,25
1,1,-1,0.1,0,0.01,gauss,0.3131381818181818,25
1,1,-1,0.1,0,0.01,gauss,0.3232390909090909,25
1,1,-1,0.1,0,0.01,gauss,0.33334,25
1,1,-1,0.1,0,0.01,gauss,0.34344090909090913,25
1,1,-1,0.1,0,0.01,gauss,0.3535418181818182,25
1,1,-1,0.1,0,0.01,gauss,0.3636427272727273,25
1,1,-1,0.1,0,0.01,gauss,0.3737436363636364,25
1,1,-1,0.1,0,0.01,gauss,0.38384454545454544,25
1,1,-1,0.1,0,0.01,gauss,0.39394545454545454,25
1,1,-1,0.1,0,0.01,gauss,0.40404636363636365,25
1,1,-1,0.1,0,0.01,gauss,0.41414727272727275,25
1,1,-1,0.1,0,0.01,gauss,0.42424818181818186,25
1,1,-1,0.1,0,0.01,gauss,0.4343490909090909,25
1,1,-1,0.1,0,0.01,gauss,0.44445,25
1,1,-1,0.1,0,0.01,gauss,0.4545509090909091,25
1,1,-1,0.1,0,0.01,gauss,0.46465181818181817,25
1,1,-1,0.1,0,0.01,gauss,0.47475272727272727,25
1,1,-1,0.1,0,0.01,gauss,0.4848536363636364,25
1,1,-1,0.1,0,0.01,gauss,0.4949545454545455,25
1,1,-1,0.1,0,0.01,gauss,0.5050554545454545,25
1,1,-1,0.1,0,0.01,gauss,0.5151563636363636,25
1,1,-1,0.1,0,0.01,gauss,0.5252572727272727,25
1,1,-1,0.1,0,0.01,gauss,0.5353581818181817,25
1,1,-1,0.1,0,0.01,gauss,0.5454590909090908,25
1,1,-1,0.1,0,0.01,gauss,0.5555599999999999,25
