g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.0,0.1,0,0.01,linear,0
1,1,0.00202020202020202,0.1,0,0.01,linear,0
1,1,0.00404040404040404,0.1,0,0.01,linear,0
1,1,0.006060606060606061,0.1,0,0.01,linear,0
1,1,0.00808080808080808,0.1,0,0.01,linear,0
1,1,0.0101010101010101,0.1,0,0.01,linear,0
1,1,0.012121212121212121,0.1,0,0.01,linear,0
1,1,0.014141414141414142,0.1,0,0.01,linear,0
1,1,0.01616161616161616,0.1,0,0.01,linear,0
1,1,0.01818181818181818,0.1,0,0.01,linear,0
1,1,0.0202020202020202,0.1,0,0.01,linear,0
1,1,0.022222222222222223,0.1,0,0.01,linear,0
1,1,0.024242424242424242,0.1,0,0.01,linear,0
1,1,0.026262626262626262,0.1,0,0.01,linear,0
1,1,0.028282828282828285,0.1,0,0.01,linear,0
1,1,0.030303030303030304,0.1,0,0.01,linear,0
1,1,0.03232323232323232,0.1,0,0.01,linear,0
1,1,0.03434343434343434,0.1,0,0.01,linear,0
1,1,0.03636363636363636,0.1,0,0.01,linear,0
1,1,0.03838383838383838,0.1,0,0.01,linear,0
1,1,0.0404040404040404,0.1,0,0.01,linear,0
1,1,0.04242424242424243,0.1,0,0.01,linear,0
1,1,0.044444444444444446,0.1,0,0.01,linear,0
1,1,0.046464646464646465,0.1,0,0.01,linear,0
1,1,0.048484848484848485,0.1,0,0.01,linear,0
1,1,0.050505050505050504,0.1,0,0.01,linear,0
1,1,0.052525252525252523,0.1,0,0.01,linear,0
1,1,0.05454545454545454,0.1,0,0.01,linear,0
1,1,0.05656565656565657,0.1,0,0.01,linear,0
1,1,0.05858585858585859,0.1,0,0.01,linear,0
1,1,0.06060606060606061,0.1,0,0.01,linear,0
1,1,0.06262626262626263,0.1,0,0.01,linear,0
1,1,0.06464646464646465,0.1,0,0.01,linear,0
1,1,0.06666666666666667,0.1,0,0.01,linear,0
1,1,0.06868686868686869,0.1,0,0.01,linear,0
1,1,0.0707070707070707,0.1,0,0.01,linear,0
1,1,0.07272727272727272,0.1,0,0.01,linear,0
1,1,0.07474747474747474,0.1,0,0.01,linear,0
1,1,0.07676767676767676,0.1,0,0.01,linear,0
1,1,0.07878787878787878,0.1,0,0.01,linear,0
1,1,0.0808080808080808,0.1,0,0.01,linear,0
1,1,0.08282828282828283,0.1,0,0.01,linear,0
1,1,0.08484848484848485,0.1,0,0.01,linear,0
1,1,0.08686868686868687,0.1,0,0.01,linear,0
1,1,0.08888888888888889,0.1,0,0.01,linear,0
1,1,0.09090909090909091,0.1,0,0.01,linear,0
1,1,0.09292929292929293,0.1,0,0.01,linear,0
1,1,0.09494949494949495,0.1,0,0.01,linear,0
1,1,0.09696969696969697,0.1,0,0.01,linear,0
1,1,0.09898989898989899,0.1,0,0.01,linear,0
1,1,0.10101010101010101,0.1,0,0.01,linear,0
1,1,0.10303030303030303,0.1,0,0.01,linear,0
1,1,0.10505050505050505,0.1,0,0.01,linear,0
1,1,0.10707070707070707,0.1,0,0.01,linear,0
1,1,0.10909090909090909,0.1,0,0.01,linear,0
1,1,0.1111111111111111,0.1,0,0.01,linear,0
1,1,0.11313131313131314,0.1,0,0.01,linear,0
1,1,0.11515151515151516,0.1,0,0.01,linear,0
1,1,0.11717171717171718,0.1,0,0.01,linear,0
1,1,0.1191919191919192,0.1,0,0.01,linear,0
1,1,0.12121212121212122,0.1,0,0.01,linear,0
1,1,0.12323232323232323,0.1,0,0.01,linear,0
1,1,0.12525252525252525,0.1,0,0.01,linear,0
1,1,0.12727272727272726,0.1,0,0.01,linear,0
1,1,0.1292929292929293,0.1,0,0.01,linear,0
1,1,0.13131313131313133,0.1,0,0.01,linear,0
1,1,0.13333333333333333,0.1,0,0.01,linear,0
1,1,0.13535353535353536,0.1,0,0.01,linear,0
1,1,0.13737373737373737,0.1,0,0.01,linear,0
1,1,0.1393939393939394,0.1,0,0.01,linear,0
1,1,0.1414141414141414,0.1,0,0.01,linear,0
1,1,0.14343434343434344,0.1,0,0.01,linear,0
1,1,0.14545454545454545,0.1,0,0.01,linear,0
1,1,0.14747474747474748,0.1,0,0.01,linear,0
