g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.0,0.1,0,0.01,cos,0
1,1,0.006346651825433925,0.1,0,0.01,cos,0
1,1,0.01269330365086785,0.1,0,0.01,cos,0
1,1,0.019039955476301777,0.1,0,0.01,cos,0
1,1,0.0253866073017357,0.1,0,0.01,cos,0
1,1,0.03173325912716963,0.1,0,0.01,cos,0
1,1,0.03807991095260355,0.1,0,0.01,cos,0
1,1,0.04442656277803748,0.1,0,0.01,cos,0
1,1,0.0507732146034714,0.1,0,0.01,cos,0
1,1,0.057119866428905326,0.1,0,0.01,cos,0
1,1,0.06346651825433926,0.1,0,0.01,cos,0
1,1,0.06981317007977318,0.1,0,0.01,cos,0
1,1,0.0761598219052071,0.1,0,0.01,cos,0
1,1,0.08250647373064103,0.1,0,0.01,cos,0
1,1,0.08885312555607495,0.1,0,0.01,cos,0
1,1,0.09519977738150888,0.1,0,0.01,cos,0
1,1,0.1015464292069428,0.1,0,0.01,cos,0
1,1,0.10789308103237673,0.1,0,0.01,cos,0
1,1,0.11423973285781065,0.1,0,0.01,cos,0
1,1,0.12058638468324458,0.1,0,0.01,cos,0
1,1,0.12693303650867852,0.1,0,0.01,cos,0
1,1,0.13327968833411244,0.1,0,0.01,cos,0
1,1,0.13962634015954636,0.1,0,0.01,cos,0
1,1,0.1459729919849803,0.1,0,0.01,cos,0
1,1,0.1523196438104142,0.1,0,0.01,cos,0
1,1,0.15866629563584814,0.1,0,0.01,cos,0
1,1,0.16501294746128206,0.1,0,0.01,cos,0
1,1,0.17135959928671599,0.1,0,0.01,cos,0
1,1,0.1777062511121499,0.1,0,0.01,cos,0
1,1,0.18405290293758383,0.1,0,0.01,cos,0
1,1,0.19039955476301776,0.1,0,0.01,cos,0
1,1,0.19674620658845168,0.1,0,0.01,cos,0
1,1,0.2030928584138856,0.1,0,0.01,cos,0
1,1,0.20943951023931953,0.1,0,0.01,cos,0
1,1,0.21578616206475346,0.1,0,0.01,cos,0
1,1,0.22213281389018738,0.1,0,0.01,cos,0
1,1,0.2284794657156213,0.1,0,0.01,cos,0
1,1,0.23482611754105523,0.1,0,0.01,cos,0
1,1,0.24117276936648915,0.1,0,0.01,cos,0
1,1,0.24751942119192308,0.1,0,0.01,cos,0
1,1,0.25386607301735703,0.1,0,0.01,cos,0
1,1,0.26021272484279095,0.1,0,0.01,cos,0
1,1,0.2665593766682249,0.1,0,0.01,cos,0
1,1,0.2729060284936588,0.1,0,0.01,cos,0
1,1,0.2792526803190927,0.1,0,0.01,cos,0
1,1,0.28559933214452665,0.1,0,0.01,cos,0
1,1,0.2919459839699606,0.1,0,0.01,cos,0
1,1,0.2982926357953945,0.1,0,0.01,cos,0
1,1,0.3046392876208284,0.1,0,0.01,cos,0
1,1,0.31098593944626235,0.1,0,0.01,cos,0
1,1,0.3173325912716963,0.1,0,0.01,cos,0
1,1,0.3236792430971302,0.1,0,0.01,cos,0
1,1,0.3300258949225641,0.1,0,0.01,cos,0
1,1,0.33637254674799805,0.1,0,0.01,cos,0
1,1,0.34271919857343197,0.1,0,0.01,cos,0
1,1,0.3490658503988659,0.1,0,0.01,cos,0
1,1,0.3554125022242998,0.1,0,0.01,cos,0
1,1,0.36175915404973374,0.1,0,0.01,cos,0
1,1,0.36810580587516767,0.1,0,0.01,cos,0
1,1,0.3744524577006016,0.1,0,0.01,cos,0
1,1,0.3807991095260355,0.1,0,0.01,cos,0
1,1,0.38714576135146944,0.1,0,0.01,cos,0
1,1,0.39349241317690337,0.1,0,0.01,cos,0
1,1,0.3998390650023373,0.1,0,0.01,cos,0
1,1,0.4061857168277712,0.1,0,0.01,cos,0
1,1,0.41253236865320514,0.1,0,0.01,cos,0
1,1,0.41887902047863906,0.1,0,0.01,cos,0
1,1,0.425225672304073,0.1,0,0.01,cos,0
1,1,0.4315723241295069,0.1,0,0.01,cos,0
1,1,0.43791897595494084,0.1,0,0.01,cos,0
1,1,0.44426562778037476,0.1,0,0.01,cos,0
1,1,0.4506122796058087,0.1,0,0.01,cos,0
1,1,0.4569589314312426,0.1,0,0.01,cos,0
1,1,0.46330558325667653,0.1,0,0.01,cos,0
1,1,0.46965223508211046,0.1,0,0.01,cos,0
1,1,0.4759988869075444,0.1,0,0.01,cos,0
1,1,0.4823455387329783,0.1,0,0.01,cos,0
1,1,0.48869219055841223,0.1,0,0.01,cos,0
1,1,0.49503884238384616,0.1,0,0.01,cos,0
1,1,0.5013854942092801,0.1,0,0.01,cos,0
1,1,0.5077321460347141,0.1,0,0.01,cos,0
1,1,0.514078797860148,0.1,0,0.01,cos,0
1,1,0.5204254496855819,0.1,0,0.01,cos,0
1,1,0.5267721015110158,0.1,0,0.01,cos,0
1,1,0.5331187533364498,0.1,0,0.01,cos,0
1,1,0.5394654051618837,0.1,0,0.01,cos,0
1,1,0.5458120569873176,0.1,0,0.01,cos,0
1,1,0.5521587088127515,0.1,0,0.01,cos,0
1,1,0.5585053606381855,0.1,0,0.01,cos,0
1,1,0.5648520124636194,0.1,0,0.01,cos,0
1,1,0.5711986642890533,0.1,0,0.01,cos,0
1,1,0.5775453161144872,0.1,0,0.01,cos,0
1,1,0.5838919679399212,0.1,0,0.01,cos,0
1,1,0.5902386197653551,0.1,0,0.01,cos,0
1,1,0.596585271590789,0.1,0,0.01,cos,0
1,1,0.6029319234162229,0.1,0,0.01,cos,0
1,1,0.6092785752416569,0.1,0,0.01,cos,0
1,1,0.6156252270670908,0.1,0,0.01,cos,0
1,1,0.6219718788925247,0.1,0,0.01,cos,0
1,1,0.6283185307179586,0.1,0,0.01,cos,0
