g0,eta,w,kappa,gamma,gamma_phi,coupling,phi,lambda
1,1,0.3141592653589793,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.34271919857343197,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.37127913178788463,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.3998390650023373,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.42839899821678995,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.45695893143124267,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.48551886464569527,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.514078797860148,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.5426387310746006,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.5711986642890533,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.599758597503506,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.6283185307179586,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.6568784639324112,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.6854383971468639,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.7139983303613167,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.7425582635757693,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.7711181967902219,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.7996781300046746,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.8282380632191273,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.8567979964335799,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.8853579296480326,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.9139178628624852,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.9424777960769379,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.9710377292913905,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,0.9995976625058433,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.028157595720296,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.0567175289347486,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.0852774621492012,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.113837395363654,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.1423973285781064,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.1709572617925592,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.1995171950070118,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.2280771282214644,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.2566370614359172,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.2851969946503699,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.3137569278648225,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.3423168610792753,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.3708767942937279,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.3994367275081805,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.427996660722633,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.456556593937086,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.4851165271515385,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.5136764603659911,0.1,0,0.01,cos_mod,4.71238898038469,0.1
