g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.0,0.1,0,0.01,exp,-6.907755278982137
1,1,0.003838839626031355,0.1,0,0.01,exp,-6.907755278982137
1,1,0.00767767925206271,0.1,0,0.01,exp,-6.907755278982137
1,1,0.011516518878094064,0.1,0,0.01,exp,-6.907755278982137
1,1,0.01535535850412542,0.1,0,0.01,exp,-6.907755278982137
1,1,0.019194198130156773,0.1,0,0.01,exp,-6.907755278982137
1,1,0.02303303775618813,0.1,0,0.01,exp,-6.907755278982137
1,1,0.026871877382219484,0.1,0,0.01,exp,-6.907755278982137
1,1,0.03071071700825084,0.1,0,0.01,exp,-6.907755278982137
1,1,0.03454955663428219,0.1,0,0.01,exp,-6.907755278982137
1,1,0.03838839626031355,0.1,0,0.01,exp,-6.907755278982137
1,1,0.0422272358863449,0.1,0,0.01,exp,-6.907755278982137
1,1,0.04606607551237626,0.1,0,0.01,exp,-6.907755278982137
1,1,0.04990491513840761,0.1,0,0.01,exp,-6.907755278982137
1,1,0.05374375476443897,0.1,0,0.01,exp,-6.907755278982137
1,1,0.057582594390470324,0.1,0,0.01,exp,-6.907755278982137
1,1,0.06142143401650168,0.1,0,0.01,exp,-6.907755278982137
1,1,0.06526027364253303,0.1,0,0.01,exp,-6.907755278982137
1,1,0.06909911326856438,0.1,0,0.01,exp,-6.907755278982137
1,1,0.07293795289459575,0.1,0,0.01,exp,-6.907755278982137
1,1,0.0767767925206271,0.1,0,0.01,exp,-6.907755278982137
1,1,0.08061563214665846,0.1,0,0.01,exp,-6.907755278982137
1,1,0.0844544717726898,0.1,0,0.01,exp,-6.907755278982137
1,1,0.08829331139872117,0.1,0,0.01,exp,-6.907755278982137
1,1,0.09213215102475251,0.1,0,0.01,exp,-6.907755278982137
1,1,0.09597099065078388,0.1,0,0.01,exp,-6.907755278982137
1,1,0.09980983027681523,0.1,0,0.01,exp,-6.907755278982137
1,1,0.10364866990284659,0.1,0,0.01,exp,-6.907755278982137
1,1,0.10748750952887794,0.1,0,0.01,exp,-6.907755278982137
1,1,0.1113263491549093,0.1,0,0.01,exp,-6.907755278982137
1,1,0.11516518878094065,0.1,0,0.01,exp,-6.907755278982137
1,1,0.11900402840697201,0.1,0,0.01,exp,-6.907755278982137
1,1,0.12284286803300336,0.1,0,0.01,exp,-6.907755278982137
1,1,0.12668170765903472,0.1,0,0.01,exp,-6.907755278982137
1,1,0.13052054728506607,0.1,0,0.01,exp,-6.907755278982137
1,1,0.13435938691109742,0.1,0,0.01,exp,-6.907755278982137
1,1,0.13819822653712877,0.1,0,0.01,exp,-6.907755278982137
1,1,0.14203706616316014,0.1,0,0.01,exp,-6.907755278982137
1,1,0.1458759057891915,0.1,0,0.01,exp,-6.907755278982137
1,1,0.14971474541522284,0.1,0,0.01,exp,-6.907755278982137
1,1,0.1535535850412542,0.1,0,0.01,exp,-6.907755278982137
1,1,0.15739242466728556,0.1,0,0.01,exp,-6.907755278982137
1,1,0.1612312642933169,0.1,0,0.01,exp,-6.907755278982137
1,1,0.16507010391934826,0.1,0,0.01,exp,-6.907755278982137
1,1,0.1689089435453796,0.1,0,0.01,exp,-6.907755278982137
1,1,0.17274778317141098,0.1,0,0.01,exp,-6.907755278982137
1,1,0.17658662279744233,0.1,0,0.01,exp,-6.907755278982137
1,1,0.18042546242347368,0.1,0,0.01,exp,-6.907755278982137
1,1,0.18426430204950503,0.1,0,0.01,exp,-6.907755278982137
1,1,0.18810314167553638,0.1,0,0.01,exp,-6.907755278982137
1,1,0.19194198130156775,0.1,0,0.01,exp,-6.907755278982137
1,1,0.1957808209275991,0.1,0,0.01,exp,-6.907755278982137
1,1,0.19961966055363045,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2034585001796618,0.1,0,0.01,exp,-6.907755278982137
1,1,0.20729733980569318,0.1,0,0.01,exp,-6.907755278982137
1,1,0.21113617943172452,0.1,0,0.01,exp,-6.907755278982137
1,1,0.21497501905775587,0.1,0,0.01,exp,-6.907755278982137
1,1,0.21881385868378722,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2226526983098186,0.1,0,0.01,exp,-6.907755278982137
1,1,0.22649153793584995,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2303303775618813,0.1,0,0.01,exp,-6.907755278982137
1,1,0.23416921718791264,0.1,0,0.01,exp,-6.907755278982137
1,1,0.23800805681394402,0.1,0,0.01,exp,-6.907755278982137
1,1,0.24184689643997537,0.1,0,0.01,exp,-6.907755278982137
1,1,0.24568573606600672,0.1,0,0.01,exp,-6.907755278982137
1,1,0.24952457569203806,0.1,0,0.01,exp,-6.907755278982137
1,1,0.25336341531806944,0.1,0,0.01,exp,-6.907755278982137
1,1,0.25720225494410076,0.1,0,0.01,exp,-6.907755278982137
1,1,0.26104109457013214,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2648799341961635,0.1,0,0.01,exp,-6.907755278982137
1,1,0.26871877382219483,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2725576134482262,0.1,0,0.01,exp,-6.907755278982137
1,1,0.27639645307425753,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2802352927002889,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2840741323263203,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2879129719523516,0.1,0,0.01,exp,-6.907755278982137
1,1,0.291751811578383,0.1,0,0.01,exp,-6.907755278982137
1,1,0.29559065120441436,0.1,0,0.01,exp,-6.907755278982137
1,1,0.2994294908304457,0.1,0,0.01,exp,-6.907755278982137
1,1,0.30326833045647705,0.1,0,0.01,exp,-6.907755278982137
1,1,0.3071071700825084,0.1,0,0.01,exp,-6.907755278982137
1,1,0.31094600970853975,0.1,0,0.01,exp,-6.907755278982137
1,1,0.3147848493345711,0.1,0,0.01,exp,-6.907755278982137
1,1,0.31862368896060245,0.1,0,0.01,exp,-6.907755278982137
1,1,0.3224625285866338,0.1,0,0.01,exp,-6.907755278982137
1,1,0.32630136821266514,0.1,0,0.01,exp,-6.907755278982137
1,1,0.3301402078386965,0.1,0,0.01,exp,-6.907755278982137
1,1,0.3339790474647279,0.1,0,0.01,exp,-6.907755278982137
1,1,0.3378178870907592,0.1,0,0.01,exp,-6.907755278982137
1,1,0.3416567267167906,0.1,0,0.01,exp,-6.907755278982137
1,1,0.34549556634282197,0.1,0,0.01,exp,-6.907755278982137
1,1,0.3493344059688533,0.1,0,0.01,exp,-6.907755278982137
1,1,0.35317324559488467,0.1,0,0.01,exp,-6.907755278982137
1,1,0.357012085220916,0.1,0,0.01,exp,-6.907755278982137
1,1,0.36085092484694736,0.1,0,0.01,exp,-6.907755278982137
1,1,0.36468976447297874,0.1,0,0.01,exp,-6.907755278982137
1,1,0.36852860409901006,0.1,0,0.01,exp,-6.907755278982137
1,1,0.37236744372504144,0.1,0,0.01,exp,-6.907755278982137
1,1,0.37620628335107276,0.1,0,0.01,exp,-6.907755278982137
1,1,0.38004512297710413,0.1,0,0.01,exp,-6.907755278982137
