g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,8,5.0
1,1,-1,0.1,0,0.01,gauss,8,5.101010101010101
1,1,-1,0.1,0,0.01,gauss,8,5.202020202020202
1,1,-1,0.1,0,0.01,gauss,8,5.303030303030303
1,1,-1,0.1,0,0.01,gauss,8,5.404040404040404
1,1,-1,0.1,0,0.01,gauss,8,5.505050505050505
1,1,-1,0.1,0,0.01,gauss,8,5.606060606060606
1,1,-1,0.1,0,0.01,gauss,8,5.707070707070707
1,1,-1,0.1,0,0.01,gauss,8,5.808080808080808
1,1,-1,0.1,0,0.01,gauss,8,5.909090909090909
1,1,-1,0.1,0,0.01,gauss,8,6.01010101010101
1,1,-1,0.1,0,0.01,gauss,8,6.111111111111111
1,1,-1,0.1,0,0.01,gauss,8,6.212121212121212
1,1,-1,0.1,0,0.01,gauss,8,6.313131313131313
1,1,-1,0.1,0,0.01,gauss,8,6.414141414141414
1,1,-1,0.1,0,0.01,gauss,8,6.515151515151516
1,1,-1,0.1,0,0.01,gauss,8,6.616161616161616
1,1,-1,0.1,0,0.01,gauss,8,6.717171717171717
1,1,-1,0.1,0,0.01,gauss,8,6.818181818181818
1,1,-1,0.1,0,0.01,gauss,8,6.919191919191919
1,1,-1,0.1,0,0.01,gauss,8,7.020202020202021
1,1,-1,0.1,0,0.01,gauss,8,7.121212121212121
1,1,-1,0.1,0,0.01,gauss,8,7.222222222222222
1,1,-1,0.1,0,0.01,gauss,8,7.3232323232323235
1,1,-1,0.1,0,0.01,gauss,8,7.424242424242424
1,1,-1,0.1,0,0.01,gauss,8,7.525252525252525
1,1,-1,0.1,0,0.01,gauss,8,7.626262626262626
1,1,-1,0.1,0,0.01,gauss,8,7.727272727272727
1,1,-1,0.1,0,0.01,gauss,8,7.828282828282829
1,1,-1,0.1,0,0.01,gauss,8,7.929292929292929
1,1,-1,0.1,0,0.01,gauss,8,8.030303030303031
1,1,-1,0.1,0,0.01,gauss,8,8.131313131313131
1,1,-1,0.1,0,0.01,gauss,8,8.232323232323232
1,1,-1,0.1,0,0.01,gauss,8,8.333333333333334
1,1,-1,0.1,0,0.01,gauss,8,8.434343434343434
1,1,-1,0.1,0,0.01,gauss,8,8.535353535353536
1,1,-1,0.1,0,0.01,gauss,8,8.636363636363637
1,1,-1,0.1,0,0.01,gauss,8,8.737373737373737
