snapshot_id,target_time,actual_time,time_index,state_file,wigner_file_npy,wigner_file_png
0,0.0,0.0,0,var_aberto_T_7.1465_state_00.qu,var_aberto_T_7.1465_wigner_00.npy,var_aberto_T_7.1465_wigner_00.png
1,1.1111111111111112,1.0909090909090908,101,var_aberto_T_7.1465_state_01.qu,var_aberto_T_7.1465_wigner_01.npy,var_aberto_T_7.1465_wigner_01.png
2,2.2222222222222223,2.1818181818181817,113,var_aberto_T_7.1465_state_02.qu,var_aberto_T_7.1465_wigner_02.npy,var_aberto_T_7.1465_wigner_02.png
3,3.3333333333333335,3.3636363636363638,126,var_aberto_T_7.1465_state_03.qu,var_aberto_T_7.1465_wigner_03.npy,var_aberto_T_7.1465_wigner_03.png
4,4.444444444444445,4.454545454545455,138,var_aberto_T_7.1465_state_04.qu,var_aberto_T_7.1465_wigner_04.npy,var_aberto_T_7.1465_wigner_04.png
5,5.555555555555555,5.545454545454546,150,var_aberto_T_7.1465_state_05.qu,var_aberto_T_7.1465_wigner_05.npy,var_aberto_T_7.1465_wigner_05.png
6,6.666666666666667,6.636363636363637,162,var_aberto_T_7.1465_state_06.qu,var_aberto_T_7.1465_wigner_06.npy,var_aberto_T_7.1465_wigner_06.png
7,7.777777777777779,7.818181818181818,175,var_aberto_T_7.1465_state_07.qu,var_aberto_T_7.1465_wigner_07.npy,var_aberto_T_7.1465_wigner_07.png
8,8.88888888888889,8.90909090909091,187,var_aberto_T_7.1465_state_08.qu,var_aberto_T_7.1465_wigner_08.npy,var_aberto_T_7.1465_wigner_08.png
9,10.0,10.0,199,var_aberto_T_7.1465_state_09.qu,var_aberto_T_7.1465_wigner_09.npy,var_aberto_T_7.1465_wigner_09.png
