g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,0.25,5.0
1,1,-1,0.1,0,0.01,gauss,0.2676767676767677,5.0
1,1,-1,0.1,0,0.01,gauss,0.28535353535353536,5.0
1,1,-1,0.1,0,0.01,gauss,0.30303030303030304,5.0
1,1,-1,0.1,0,0.01,gauss,0.3207070707070707,5.0
1,1,-1,0.1,0,0.01,gauss,0.3383838383838384,5.0
1,1,-1,0.1,0,0.01,gauss,0.3560606060606061,5.0
1,1,-1,0.1,0,0.01,gauss,0.3737373737373737,5.0
1,1,-1,0.1,0,0.01,gauss,0.39141414141414144,5.0
1,1,-1,0.1,0,0.01,gauss,0.40909090909090906,5.0
1,1,-1,0.1,0,0.01,gauss,0.4267676767676768,5.0
1,1,-1,0.1,0,0.01,gauss,0.4444444444444444,5.0
1,1,-1,0.1,0,0.01,gauss,0.4621212121212121,5.0
1,1,-1,0.1,0,0.01,gauss,0.4797979797979798,5.0
1,1,-1,0.1,0,0.01,gauss,0.49747474747474746,5.0
1,1,-1,0.1,0,0.01,gauss,0.5151515151515151,5.0
1,1,-1,0.1,0,0.01,gauss,0.5328282828282829,5.0
1,1,-1,0.1,0,0.01,gauss,0.5505050505050505,5.0
1,1,-1,0.1,0,0.01,gauss,0.5681818181818181,5.0
1,1,-1,0.1,0,0.01,gauss,0.5858585858585859,5.0
1,1,-1,0.1,0,0.01,gauss,0.6035353535353536,5.0
1,1,-1,0.1,0,0.01,gauss,0.6212121212121212,5.0
1,1,-1,0.1,0,0.01,gauss,0.6388888888888888,5.0
1,1,-1,0.1,0,0.01,gauss,0.6565656565656566,5.0
1,1,-1,0.1,0,0.01,gauss,0.6742424242424242,5.0
1,1,-1,0.1,0,0.01,gauss,0.6919191919191918,5.0
1,1,-1,0.1,0,0.01,gauss,0.7095959595959596,5.0
1,1,-1,0.1,0,0.01,gauss,0.7272727272727273,5.0
1,1,-1,0.1,0,0.01,gauss,0.7449494949494949,5.0
1,1,-1,0.1,0,0.01,gauss,0.7626262626262627,5.0
1,1,-1,0.1,0,0.01,gauss,0.7803030303030303,5.0
